md5_hash,sha256_hash,file_type,file_size,signature,firstseen,imphash,ssdeep,virustotal,urlhaus_download
9ae20b62128ebd2a847d834a7fe32fe1,0b116f1ad2400ac409c84a7ba99fdebbb61e92388fbdb6b14e4d817f94a83859,html,6712,,2026-06-11 04:38:56,,192:OkIutNZnIE/CTKoyneFYoHsfOBro2Tc/e:Ok1PdCYoHsfO2/e,,https://urlhaus-api.abuse.ch/v1/download/0b116f1ad2400ac409c84a7ba99fdebbb61e92388fbdb6b14e4d817f94a83859/
3849f30b51a5c49e8d1546960cc206c7,f6c97b1e2ed02578ca1066c8235ba4f991e645f89012406c639dbccc6582eec8,elf,137480,,2026-06-11 04:36:19,,3072:biMYFJvw6Yh0b1gKobtCGCmCRlrisfrYm:fYFJvwe1gKCYVl2szN,,https://urlhaus-api.abuse.ch/v1/download/f6c97b1e2ed02578ca1066c8235ba4f991e645f89012406c639dbccc6582eec8/
953a36b6b85390409be2af6dab773111,85e9c56646b76b89ae6e03480a732fc85a6ea6be3e6655adc55218d80ada53fe,exe,3201952,,2026-06-11 04:33:01,d42595b695fc008ef2c56aabd8efd68e,49152:3KUzpyl+Ppl9nCmvdzjaVuftt2J42YJjPbcw:39pzeat0J42U,,https://urlhaus-api.abuse.ch/v1/download/85e9c56646b76b89ae6e03480a732fc85a6ea6be3e6655adc55218d80ada53fe/
eec5c6c219535fba3a0492ea8118b397,12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef,elf,307960,Mirai,2026-06-11 04:25:20,,6144:T2s/gAWuboqsJ9xcJxspJBqQgTuaJZRhVabE5wKSDP99zBa77oNsKqqfPqOJ:T2s/bW+UmJqBxAuaPRhVabEDSDP99zBT,,https://urlhaus-api.abuse.ch/v1/download/12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef/
59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7,elf,135784,Mozi,2026-06-11 04:22:06,,3072:phNlHuBafLeBtfCzpta8xlBIOdVo3/4sxLJ10xioP:p3lOYoaja8xzx/0wsxzSi2,,https://urlhaus-api.abuse.ch/v1/download/4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7/
59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7,elf,135784,Mozi,2026-06-11 04:16:20,,3072:phNlHuBafLeBtfCzpta8xlBIOdVo3/4sxLJ10xioP:p3lOYoaja8xzx/0wsxzSi2,,https://urlhaus-api.abuse.ch/v1/download/4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7/
59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7,elf,135784,Mozi,2026-06-11 04:13:18,,3072:phNlHuBafLeBtfCzpta8xlBIOdVo3/4sxLJ10xioP:p3lOYoaja8xzx/0wsxzSi2,,https://urlhaus-api.abuse.ch/v1/download/4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7/
d440ed0f6e9f4380896cbb3192de66c4,b0225516d84c7319b48319abf1682ea695c795ce51b5a3bfd976417d66ba5e8a,zip,121398,,2026-06-11 04:06:30,,1536:rfnLkuMzbAYATbzs8t10GEWdsm5Fby2s3VTAPcHlyXDIUY6IlOPzVIwOmdoP2eY3:R/jHUmHbb6APcF1qIY7VvWUQsoBuf,,https://urlhaus-api.abuse.ch/v1/download/b0225516d84c7319b48319abf1682ea695c795ce51b5a3bfd976417d66ba5e8a/
8f936fc6d35d78cad08bf46caf93604d,2ce96be6837280ed40426385f1231f5110740f9931b198bb73170a35b7ec6879,html,4689,,2026-06-11 04:06:17,,96:nItDJYtoAJS8ffKH1NPIX4rDJcs01cq4o5nZBIq23UXepKED7B6YI:IVJYtoA1ffqzr/Jcs0BbBIPCego7I,,https://urlhaus-api.abuse.ch/v1/download/2ce96be6837280ed40426385f1231f5110740f9931b198bb73170a35b7ec6879/
59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7,elf,135784,Mozi,2026-06-11 03:57:20,,3072:phNlHuBafLeBtfCzpta8xlBIOdVo3/4sxLJ10xioP:p3lOYoaja8xzx/0wsxzSi2,,https://urlhaus-api.abuse.ch/v1/download/4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7/
