id,url,host,url_status,threat,tags,date_added,reporter,larted,urlhaus_reference,linked_md5,linked_sha256
3862874,https://iznukhb.hesabdari2.xyz/13e33441-5d5f-40f0-a159-333cff5e21d3,iznukhb.hesabdari2.xyz,offline,malware_download,ClearFake,2026-06-11 04:41:09 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862874/,,
3862873,http://202.107.96.28:50487/i,202.107.96.28,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 04:36:20 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862873/,3849f30b51a5c49e8d1546960cc206c7,f6c97b1e2ed02578ca1066c8235ba4f991e645f89012406c639dbccc6582eec8
3862872,https://zo4t1q36.moarefeslami.xyz/?ublib=8fa6cda4-73a4-4f89-8dc5-01df568f4daf,zo4t1q36.moarefeslami.xyz,offline,malware_download,ClearFake,2026-06-11 04:35:09 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862872/,,
3862871,http://182.90.192.6:56722/i,182.90.192.6,online,malware_download,32-bit|arm|elf|mirai|Mozi,2026-06-11 04:25:20 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862871/,eec5c6c219535fba3a0492ea8118b397,12013662c71da69de977c04cd7021f13a70cf7bed4ca6c82acbc100464d4b0ef
3862870,http://59.96.143.76:49435/bin.sh,59.96.143.76,online,malware_download,Mozi,2026-06-11 04:22:07 UTC,GAYINT_DOT_ORG,true,https://urlhaus.abuse.ch/url/3862870/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862869,https://chamcmlu.jamjahani.football/8c3bdf2f-2503-499f-a36e-311b3ac8b796,chamcmlu.jamjahani.football,offline,malware_download,ClearFake,2026-06-11 04:19:11 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862869/,,
3862868,http://125.41.2.75:49395/i,125.41.2.75,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 04:16:20 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862868/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862867,http://42.231.41.181:39958/bin.sh,42.231.41.181,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 04:13:19 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862867/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862866,https://bnxtprw.hesabdarieskandari.xyz/166436ad-0a7e-45c4-84a8-477b6dc8e43f,bnxtprw.hesabdarieskandari.xyz,offline,malware_download,ClearFake,2026-06-11 04:04:05 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862866/,,
3862865,http://125.41.2.75:49395/bin.sh,125.41.2.75,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:57:20 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862865/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862864,https://m2bu2yf9.ansuyemarg.xyz/?ublib=dacad267-6321-4089-a5bf-2fa5ceabd0c0,m2bu2yf9.ansuyemarg.xyz,offline,malware_download,ClearFake,2026-06-11 03:53:06 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862864/,,
3862863,https://kpeahfhd.rial.bet/535c6fa6-75b3-4d82-873c-eb6088e557d7,kpeahfhd.rial.bet,offline,malware_download,ClearFake,2026-06-11 03:40:08 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862863/,,
3862862,http://182.126.91.133:40473/i,182.126.91.133,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:25:11 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862862/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862861,https://verccbf.hesabdarinoravesh.xyz/469f8c81-4398-4789-9070-e3c03bcc5684,verccbf.hesabdarinoravesh.xyz,offline,malware_download,ClearFake,2026-06-11 03:24:05 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862861/,,
3862860,http://123.5.113.133:47929/i,123.5.113.133,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:17:17 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862860/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862859,https://bgdfvnukx.darsnamejame.xyz/0dfef398-6be9-4dc1-8231-f9e6a3f4000b,bgdfvnukx.darsnamejame.xyz,offline,malware_download,ClearFake,2026-06-11 03:13:05 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862859/,,
3862858,http://222.142.243.66:32843/bin.sh,222.142.243.66,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:10:21 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862858/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862857,http://61.53.74.248:49625/i,61.53.74.248,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:09:23 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862857/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862856,https://wkgrduot.restaurantguideaarhus.com/b6abc696-cf5a-403a-a461-729e05294143,wkgrduot.restaurantguideaarhus.com,offline,malware_download,ClearFake,2026-06-11 03:02:05 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862856/,,
3862855,http://112.93.138.2:43031/i,112.93.138.2,offline,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:00:29 UTC,geenensp,false,https://urlhaus.abuse.ch/url/3862855/,,
3862854,http://123.5.113.133:47929/bin.sh,123.5.113.133,online,malware_download,32-bit|elf|mips|Mozi,2026-06-11 03:00:24 UTC,geenensp,true,https://urlhaus.abuse.ch/url/3862854/,59ce0baba11893f90527fc951ac69912,4293c1d8574dc87c58360d6bac3daa182f64f7785c9d41da5e0741d2b1817fc7
3862853,http://123.189.203.202:34444/i,123.189.203.202,offline,malware_download,,2026-06-11 03:00:23 UTC,GAYINT_DOT_ORG,false,https://urlhaus.abuse.ch/url/3862853/,,
3862852,http://vps36563.maxko-hosting.net/FBI.i686,vps36563.maxko-hosting.net,online,malware_download,elf|gafgyt|mirai|ua-wget|x86,2026-06-11 03:00:22 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862852/,9d2650e79611e0fccd6a5ae47071f52a,8d808fb89a9f9b6428090e4b371715bc552e4db4ef4e09c814b0b8be374b729c
3862851,https://gpbvnrp.hesabdariosmani.xyz/003331bb-e12e-4b7a-8004-44c2af6cab0c,gpbvnrp.hesabdariosmani.xyz,offline,malware_download,ClearFake,2026-06-11 03:00:06 UTC,anonymous,false,https://urlhaus.abuse.ch/url/3862851/,,
3862848,http://150.40.127.154/FBI.m68k,150.40.127.154,online,malware_download,elf|gafgyt|m68k|mirai|ua-wget,2026-06-11 02:45:26 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862848/,2b44d6f1567aeec86e8a6a2372a7a4f4,3704c29dbde14a3daa1c739197e4c0ae5ebbf91594f686a1be3dbaf5a95ff00d
3862849,http://150.40.127.154/FBI.mipsel,150.40.127.154,online,malware_download,elf|gafgyt|mips|mirai|ua-wget,2026-06-11 02:45:26 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862849/,62a6f7a1cd9571de3314e325635f33b0,b6b0dccf402d349d93ed1220675be4d63fd506e1a207732924a98caea8813ce9
3862850,http://150.40.127.154/FBI.sh4,150.40.127.154,online,malware_download,elf|gafgyt|mirai|SuperH|ua-wget,2026-06-11 02:45:26 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862850/,50f37ec260836805b257e960927bf19a,793e22e2643231deab714c4c4a309d6ba9c0424fa41a320bfa72f42aad3fa5a7
3862846,http://vps36563.maxko-hosting.net/FBI.sh4,vps36563.maxko-hosting.net,online,malware_download,elf|gafgyt|mirai|SuperH|ua-wget,2026-06-11 02:45:25 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862846/,50f37ec260836805b257e960927bf19a,793e22e2643231deab714c4c4a309d6ba9c0424fa41a320bfa72f42aad3fa5a7
3862847,http://vps36563.maxko-hosting.net/FBI.m68k,vps36563.maxko-hosting.net,online,malware_download,elf|gafgyt|m68k|mirai|ua-wget,2026-06-11 02:45:25 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862847/,2b44d6f1567aeec86e8a6a2372a7a4f4,3704c29dbde14a3daa1c739197e4c0ae5ebbf91594f686a1be3dbaf5a95ff00d
3862844,http://vps36563.maxko-hosting.net/FBI.arm5,vps36563.maxko-hosting.net,online,malware_download,arm|elf|gafgyt|mirai|ua-wget,2026-06-11 02:45:24 UTC,botnetkiller,true,https://urlhaus.abuse.ch/url/3862844/,b9f0460d9efe73b1e17181745fe606f7,3e85e94ea0fc1e9eb741c123cdbff847ca194a6964e611acb715f22dc705298b
